title_en,title_fr,address,phone_number,email,description,sender_name,sender_email,alert_email,alert_sms,alert_default,sms_time,shared,locale
Buletproof warehouse,Buletproof warehouse,,514-631-9898,dave@bulletprooflogistics.com ,,,,,,,,,
Cimco ,Cimco ,,514-331-5360,"scastonguay@toromont.com
ddigenova@toromont.com",,,,,,,,,
Royal Tech,Royal Tech,,450-641-1818 #223,clemelin@grouperoyaltech.com ,,,,,,,,,
Entreprise Larry ,Entreprise Larry ,,1-866-767-5277,,,,,,,,,,
Terra D,Terra D,,514-956-0184,,,,,,,,,,
Abell ,Abell ,,,,,,,,,,,,
AGAT Laboratory,AGAT Laboratory,,,,,,,,,,,,
RCI,RCI,,855-852-7110,,,,,,,,,,
Sanivac,Sanivac,,514-984-1212,,,,,,,,,,
Unifirst Montreal,Unifirst Montreal,,514-365-8301,Giovanni_butterin@unifirst.com,,,,,,,,,
SGS Laboratory,SGS Laboratory,, (289) 233-8510,pranay.bhaveshpatel@sgs.com,,,,,,,,,
FUZE LOGISTICS SERVICES,FUZE LOGISTICS SERVICES,,"833-USE-FUZE ext. 461
438-270-4721",mariae@fuzelogistics.com,,,,,,,,,
Morneau ,Morneau ,,514-325-2727 ext: 161,martine.villemaire@groupemorneau.com,,,,,,,,,
MTL Transport ,MTL Transport ,,514-731-7020,enzo@mtltrans.ca,,,,,,,,,
Micoli Inc,Micoli Inc,,514-794-8216,ocaron@lessocietemicoli.com,,,,,,,,,
JANPRO,JANPRO,,C. (514) 442-3067,ljubica.radosavljevic@jan-pro.com,,,,,,,,,
Vision Process Solutions,Vision Process Solutions,,514-733-1800,filtration@vision-solutions.ca,,,,,,,,,
LOMA Systems,LOMA Systems,,"M: 514-710-1431
T: 800-872-5662  Ext 2403","Eric.Ferrari@loma.com
ineedhelp@loma.com ",,,,,,,,,
Euro L.S.,Euro L.S.,, (514) 335-4070,,,,,,,,,,
HYSA Consulting,HYSA Consulting,,514-448-1098,carlturcotte@hysa.ca,,,,,,,,,
L.C.T. Services de Mesurage (BIM.ca) - ,L.C.T. Services de Mesurage (BIM.ca) - ,,514 932 9426 #246 ,d.moisan@bim.ca,,,,,,,,,
NSF,NSF,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
